Date,Open,High,Low,Close,Volume
03/30/22,1091.17,1113.95,1084,1093.99,19955000
03/29/22,1107.99,1114.77,1073.11,1099.57,24538270
03/28/22,1065.1,1097.88,1053.6,1091.84,34168688
03/25/22,1008,1021.8,997.3201,1010.64,20677180
03/24/22,1009.73,1024.49,988.8,1013.92,22973631
03/23/22,979.94,1040.7,976.4,999.11,40225379
03/22/22,930,997.86,921.75,993.98,35289520
03/21/22,914.98,942.85,907.09,921.16,27327221
03/18/22,874.49,907.85,867.39,905.39,33471398
03/17/22,830.99,875,825.7178,871.6,22194320
03/16/22,809,842,802.2601,840.23,28009609
03/15/22,775.27,805.57,756.57,801.89,22280381
03/14/22,780.61,800.7,756.04,766.37,23717420
03/11/22,840.197,843.802,793.77,795.35,22345721
03/10/22,851.45,854.45,810.3601,838.3,19549551
03/09/22,839.48,860.56,832.01,858.97,19727990
03/08/22,795.53,849.99,782.17,824.4,26799699
03/07/22,856.3,866.14,804.57,804.58,24164721
03/04/22,849.1,855.65,825.1609,838.29,22393289
03/03/22,878.77,886.439,832.6001,839.29,20541170
03/02/22,872.13,886.48,844.2721,879.89,24881150
03/01/22,869.68,889.88,853.78,864.37,24922289
02/28/22,815.01,876.86,814.7075,870.43,33002289
02/25/22,809.23,819.5,782.4005,809.87,25355920
02/24/22,700.39,802.48,700,800.77,45107434
02/23/22,830.43,835.2997,760.56,764.04,31752340
02/22/22,834.13,856.7338,801.1001,821.53,27762730
02/18/22,886,886.87,837.61,856.98,22833949
02/17/22,913.26,918.4999,874.1,876.35,18392811
02/16/22,914.05,926.4299,901.21,923.39,17098131
02/15/22,900,923,893.3774,922.43,19216510
02/14/22,861.57,898.8799,853.15,875.76,22585471
02/11/22,909.63,915.96,850.7,860,26548619
02/10/22,908.37,943.81,896.7,904.55,22042279
02/09/22,935,946.2699,920,932,17419850
02/08/22,905.53,926.2899,894.8,922,16909670
02/07/22,923.79,947.77,902.7089,907.34,20331490
02/04/22,897.22,936.5,881.17,923.32,24541820
02/03/22,882,937,880.52,891.14,26285189
02/02/22,928.18,931.5,889.41,905.66,22264350
02/01/22,935.21,943.7,905,931.25,24379449
01/31/22,872.71,937.99,862.05,936.72,34812031
01/28/22,831.56,857.5,792.01,846.35,44929648
01/27/22,933.36,935.39,829,829.1,49036520
01/26/22,952.43,987.69,906,937.41,34955762
01/25/22,914.2,951.26,903.21,918.4,28865301
01/24/22,904.76,933.5131,851.47,930,50791711
01/21/22,996.34,1004.55,940.5,943.9,34472008
01/20/22,1009.73,1041.66,994,996.27,23496250
01/19/22,1041.705,1054.67,995,995.65,25147500
01/18/22,1026.605,1070.79,1016.06,1030.51,22329801
01/14/22,1019.88,1052,1013.379,1049.61,24308141
01/13/22,1109.065,1115.6,1026.539,1031.56,32403260
01/12/22,1078.85,1114.84,1072.59,1106.22,27913010
01/11/22,1053.67,1075.85,1038.82,1064.4,22021070
01/10/22,1000,1059.1,980,1058.12,30604961
01/07/22,1080.37,1080.93,1010,1026.96,28054920
01/06/22,1077,1088,1020.5,1064.7,30112160
01/05/22,1146.65,1170.34,1081.01,1088.12,26706600
01/04/22,1189.55,1208,1123.05,1149.59,33416090
01/03/22,1147.75,1201.07,1136.04,1199.78,34895352
12/31/21,1073.444,1082,1054.59,1056.78,13577880
12/30/21,1061.33,1095.55,1053.15,1070.34,15680310
12/29/21,1098.64,1104,1064.14,1086.19,18718020
12/28/21,1109.49,1119,1078.42,1088.47,20107971
12/27/21,1073.67,1117,1070.715,1093.94,23715270
12/23/21,1006.8,1072.977,997.56,1067,30904430
12/22/21,965.66,1015.66,957.05,1008.87,31211359
12/21/21,916.87,939.5,886.12,938.53,23839311
12/20/21,910.7,921.6884,893.39,899.94,18826670
12/17/21,914.77,960.6599,909.0401,932.57,33626754
12/16/21,994.5,994.98,921.85,926.92,27590480
12/15/21,953.21,978.7499,928.2501,975.99,25056410
12/14/21,945,966.41,930,958.51,23602090
12/13/21,1001.09,1005,951.42,966.41,26198500
12/10/21,1008.75,1020.98,982.53,1017.03,19888119
12/09/21,1060.64,1062.49,1002.36,1003.8,19812830
12/08/21,1052.71,1072.38,1033,1068.96,13968790
12/07/21,1044.2,1057.674,1026.81,1051.75,18694859
12/06/21,1001.51,1021.64,950.5,1009.01,27221039
12/03/21,1084.79,1090.575,1000.21,1014.97,30774000
12/02/21,1099.06,1113,1056.65,1084.6,24371619
12/01/21,1160.695,1172.84,1090.76,1095,22934699
11/30/21,1144.37,1168,1118,1144.76,27092039
11/29/21,1100.99,1142.67,1100.19,1136.99,19464471
11/26/21,1099.47,1108.783,1081,1081.92,11680890
11/24/21,1080.39,1132.77,1062,1116,22560240
11/23/21,1167.51,1180.5,1062.7,1109.03,36171699
11/22/21,1162.33,1201.95,1132.43,1156.87,33072512
11/19/21,1098.87,1138.72,1092.7,1137.06,21642260
11/18/21,1106.55,1112,1075.02,1096.38,20898930
11/17/21,1063.51,1119.64,1055.5,1089.01,31445369
11/16/21,1003.31,1057.2,1002.18,1054.73,26542359
11/15/21,1017.63,1031.98,978.6,1013.39,34775648
11/12/21,1047.5,1054.5,1019.2,1033.42,25573150
11/11/21,1102.77,1104.97,1054.68,1063.51,22396570
11/10/21,1010.41,1078.1,987.31,1067.95,42802719
11/09/21,1173.6,1174.5,1011.52,1023.5,59105840
11/08/21,1149.785,1197,1133,1162.94,33445719
11/05/21,1228,1239.87,1208,1222.09,21628811
11/04/21,1234.41,1243.49,1217,1229.91,25397410
11/03/21,1177.33,1215.39,1152.62,1213.86,34628520
11/02/21,1159.355,1208.59,1146,1172,42737801
11/01/21,1145,1209.75,1118.66,1208.59,56048719
10/29/21,1081.86,1115.21,1073.205,1114,29918420
10/28/21,1068.305,1081,1054.2,1077.04,27213170
10/27/21,1039.66,1070.88,1030.78,1037.86,38526461
10/26/21,1024.69,1094.94,1001.44,1018.43,62414969
10/25/21,950.53,1045.02,944.2,1024.86,62852102
10/22/21,895.5,910,890.96,909.68,22880840
10/21/21,856,900,855.5046,894,31481449
10/20/21,865.35,869.49,857.38,865.8,14032050
10/19/21,877.53,877.95,862.51,864.27,17381131
10/18/21,851.79,875.26,851.47,870.11,24207240
10/15/21,823.738,843.21,822.35,843.03,18924570
10/14/21,815.49,820.25,813.3501,818.32,12247170
10/13/21,810.47,815.41,805.78,811.08,14120080
10/12/21,800.93,812.32,796.57,805.72,22020039
10/11/21,787.65,801.24,785.5,791.94,14200320
10/08/21,796.21,796.38,780.91,785.49,16738600
10/07/21,785.46,805,783.38,793.61,19195779
10/06/21,776.2,786.66,773.22,782.75,14632770
10/05/21,784.796,797.31,774.2,780.59,18432631
10/04/21,796.5,806.9699,776.12,781.53,30483340
10/01/21,778.4,780.78,763.59,775.22,17031410
09/30/21,781,789.1305,775,775.48,17955961
09/29/21,779.8,793.5,770.68,781.31,20942881
09/28/21,787.2,795.64,766.1801,777.56,25381420
09/27/21,773.12,799,769.31,791.36,28070660
09/24/21,745.89,774.8,744.56,774.39,21373020
09/23/21,755,758.2,747.92,753.64,11947530
09/22/21,743.5263,753.6699,739.12,751.94,15126270
09/21/21,734.79,744.7399,730.44,739.38,16330720
09/20/21,734.5577,742,718.6249,730.17,24757650
09/17/21,757.15,761.04,750,759.49,28204180
09/16/21,752.83,758.91,747.61,756.99,13923390
09/15/21,745,756.86,738.36,755.83,15357690
09/14/21,742.57,754.47,736.4,744.49,18524881
09/13/21,740.214,744.78,708.85,743,22952480
09/10/21,759.6,762.61,734.5201,736.27,15184170
09/09/21,753.41,762.1,751.6301,754.86,14077730
09/08/21,761.58,764.45,740.7733,753.87,18793039
09/07/21,740,760.2,739.26,752.92,20039830
09/03/21,732.249,734,724.2,733.57,15271050
09/02/21,734.5,740.97,730.54,732.39,12796740
09/01/21,734.08,741.99,731.2701,734.09,13204340
08/31/21,733,740.39,726.44,735.72,20855439
08/30/21,714.715,731,712.73,730.91,18604221
08/27/21,705,715,702.1001,711.92,13833760
08/26/21,708.31,715.4,697.6201,701.16,13214290
08/25/21,707.03,716.97,704,711.2,12645560
08/24/21,710.68,715.22,702.64,708.49,13083070
08/23/21,685.442,712.1299,680.7505,706.3,20264859
08/20/21,682.85,692.1299,673.7,680.26,14841870
08/19/21,678.21,686.55,667.59,673.47,14313490
08/18/21,669.748,695.77,669.35,688.99,20349381
08/17/21,672.66,674.58,648.84,665.71,23721279
08/16/21,705.07,709.5,676.4,686.17,23103301
08/13/21,723.71,729.9,714.34,717.17,16731471
08/12/21,706.34,722.8,699.4,722.25,17681689
08/11/21,712.71,715.18,704.21,707.82,9800558
08/10/21,713.99,716.59,701.88,709.99,13432310
08/09/21,710.17,719.03,705.13,713.76,14715350
08/06/21,711.9,716.33,697.63,699.1,15623050
08/05/21,716,720.9499,711.41,714.63,12919640
08/04/21,711,724.9,708.93,710.92,17002650
08/03/21,719,722.65,701.01,709.74,21620250
08/02/21,700,726.94,698.4,709.67,33615770
07/30/21,671.758,697.53,669,687.2,29656410
07/29/21,649.79,683.69,648.8,677.35,30394641
07/28/21,646.995,654.9699,639.4001,646.98,16006600
07/27/21,663.4,666.5,627.24,644.78,32813289
07/26/21,650.97,668.1999,647.11,657.62,25336561
07/23/21,646.36,648.8,637.3001,643.38,14604940
07/22/21,656.4428,662.17,644.6001,649.26,15105730
07/21/21,659.61,664.8599,650.2901,655.29,13953340
07/20/21,651.99,662.3916,640.501,660.5,15487130
07/19/21,629.89,647.1999,621.29,646.22,21297090
07/16/21,654.68,656.6999,642.2,644.22,16370970
07/15/21,658.39,666.14,637.88,650.6,20209570
07/14/21,670.75,678.6099,652.84,653.38,21641189
07/13/21,686.32,693.28,666.2958,668.54,20966090
07/12/21,662.2,687.24,662.161,685.7,25927039
07/09/21,653.185,658.91,644.69,656.95,18140551
07/08/21,628.37,654.43,620.46,652.81,22773320
07/07/21,664.27,665.7,638.32,644.65,18791961
07/06/21,681.7115,684,651.4002,659.58,23284449
07/02/21,678.98,700,673.26,678.9,27097369
07/01/21,683.92,687.99,672.8,677.92,18634520
06/30/21,679.77,692.81,678.14,679.7,18924859
06/29/21,684.65,687.5099,675.89,680.76,17381311
06/28/21,671.64,694.6999,670.32,688.72,21628160
06/25/21,689.58,693.81,668.7,671.87,32496711
06/24/21,674.99,697.62,667.61,679.82,45982391
06/23/21,632,657.204,630.04,656.57,31099230
06/22/21,618.25,628.5693,615.5,623.71,19158891
06/21/21,624.48,631.39,608.88,620.83,24812740
06/18/21,613.37,628.35,611.8,623.31,24560910
06/17/21,601.888,621.47,601.34,616.6,22701350
06/16/21,597.535,608.5,593.5,604.87,22144131
06/15/21,616.69,616.79,598.23,599.36,17764150
06/14/21,612.23,625.49,609.18,617.69,20423980
06/11/21,610.23,612.56,601.52,609.89,16205300
06/10/21,603.88,616.59,600.5,610.12,23919609
06/09/21,602.17,611.79,597.6301,598.78,16584570
06/08/21,623.01,623.09,595.5,603.59,26053410
06/07/21,591.825,610,582.88,605.13,22543680
06/04/21,579.71,600.61,577.2,599.05,24036900
06/03/21,601.8,604.55,571.22,572.84,30111891
06/02/21,620.13,623.36,599.14,605.12,23302779
06/01/21,627.8,633.8,620.55,623.9,18084891
05/28/21,628.5,635.59,622.38,625.22,22737039
05/27/21,620.24,631.13,616.21,630.85,26370590
05/26/21,607.56,626.17,601.5,619.13,28639311
05/25/21,607.31,613.99,595.71,604.69,28005930
05/24/21,581.6,614.48,573.65,606.44,34558090
05/21/21,596.11,596.68,580,580.88,26030600
05/20/21,575,588.85,571.07,586.78,30821119
05/19/21,552.55,566.21,546.98,563.46,39578398
05/18/21,568,596.25,563.38,577.87,36830566
05/17/21,575.553,589.73,561.2,576.83,32247801
05/14/21,583.41,592.87,570.46,589.74,33370859
05/13/21,601.545,606.4599,559.65,571.69,44184922
05/12/21,602.49,620.41,586.765,589.89,33823648
05/11/21,599.24,627.0999,595.6,617.2,46503898
05/10/21,664.9,665.05,627.6101,629.04,31392420
05/07/21,665.8,690,660.22,672.37,23469170
05/06/21,680.76,681.02,650,663.54,27784619
05/05/21,681.06,685.2955,667.34,670.94,21901891
05/04/21,678.94,683.4464,657.701,673.6,29739320
05/03/21,703.8,706,680.5,684.9,27043141
04/30/21,667.59,715.47,666.14,709.44,40758719
04/29/21,699.51,702.25,668.5002,677,28845449
04/28/21,696.41,708.5,693.6,694.4,22271051
04/27/21,717.96,724,703.3501,704.74,29437000
04/26/21,741,749.3,732.6053,738.2,31038500
04/23/21,719.8,737.36,715.46,729.4,28413891
04/22/21,741.5,753.77,718.04,719.69,35590262
04/21/21,704.77,744.84,698,744.12,31215510
04/20/21,717.42,737.25,710.685,718.99,35609039
04/19/21,719.6,725.4,691.8001,714.63,39686230
04/16/21,728.65,749.41,724.6,739.78,27979529
04/15/21,743.1,743.69,721.31,738.85,27848900
04/14/21,770.7,780.79,728.03,732.23,49017434
04/13/21,712.7,763,710.66,762.32,44652809
04/12/21,685.7,704.8,682.09,701.98,29135670
04/09/21,677.77,680.97,669.43,677.02,21437090
04/08/21,677.38,689.5499,671.645,683.8,23924330
04/07/21,687,691.38,667.84,670.97,26309430
04/06/21,690.3,696.55,681.37,691.62,28271840
04/05/21,707.71,708.16,684.7,691.05,41842770
04/01/21,688.37,692.4203,659.42,661.75,35298379
03/31/21,646.62,672,641.11,667.93,33337289
03/30/21,601.75,637.66,591.01,635.62,39432359
03/29/21,615.64,616.48,596.02,611.29,28636990
03/26/21,641.87,643.82,599.89,618.71,33852832
03/25/21,613,645.5,609.5,640.39,39224848
03/24/21,667.91,668.02,630.11,630.27,33795168
03/23/21,675.77,677.8,657.51,662.16,30491869
03/22/21,684.59,699.62,668.75,670,39512219
03/19/21,646.6,657.23,624.6201,654.87,42893980
03/18/21,684.29,689.23,652,653.16,33369020
03/17/21,656.87,703.73,651.01,701.81,40372449
03/16/21,703.35,707.92,671,676.88,32195670
03/15/21,694.09,713.18,684.04,707.94,29423480
03/12/21,670,694.88,666.1394,693.73,33583840
03/11/21,699.4,702.5,677.18,699.6,36253887
03/10/21,700.3,717.85,655.06,668.06,60605672
03/09/21,608.18,678.09,595.21,673.58,67523328
03/08/21,600.55,620.125,558.79,563,51786961
03/05/21,626.06,627.8419,539.49,597.95,89396461
03/04/21,655.8,873.94,600,621.44,65919531
03/03/21,687.99,700.7,651.705,653.2,30207961
03/02/21,718.28,721.11,685,686.44,23732160
03/01/21,690.11,872,685.05,718.43,27136240
02/26/21,700,706.7,659.51,675.5,41089168
02/25/21,726.15,737.2066,670.58,682.22,39023859
02/24/21,711.85,745,694.17,742.02,36766953
02/23/21,662.13,713.6099,619,698.84,66606883
02/22/21,762.64,768.5,710.2,714.5,37269719
02/19/21,795,796.7899,777.37,781.3,18958260
02/18/21,780.9,794.69,776.27,787.38,17957061
02/17/21,779.09,799.84,762.01,798.15,26078900
02/16/21,818,821,792.44,796.22,19802320
02/12/21,801.26,817.33,785.3306,816.12,23768311
02/11/21,812.44,829.8799,801.725,811.66,21622750
02/10/21,843.635,844.82,800.02,804.82,36216090
02/09/21,855.12,859.8,841.75,849.46,15157650
02/08/21,869.67,877.77,854.75,863.42,20161721
02/05/21,845,864.77,838.97,852.23,18566641
02/04/21,855,856.5,833.42,849.99,15812660
02/03/21,877.02,878.08,853.0646,854.69,18343510
02/02/21,844.68,880.5,842.2006,872.79,24346211
02/01/21,814.29,842,795.5601,839.81,25391391
01/29/21,830,842.41,780.1,793.53,34990754
01/28/21,820,848,801,835.43,26378051
01/27/21,870.35,891.5,858.66,864.16,27333961
